         179254 function calls (179197 primitive calls) in 0.879 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/queue.py:17(_put)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:121(put)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       10    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:868(<lambda>)
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509V3_EXT_d2i}
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509_EXTENSION_get_critical}
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509_EXTENSION_get_object}
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509_get_ext}
       10    0.000    0.000    0.000    0.000 {method 'cast' of 'CompiledFFI' objects}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1163(__init__)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/_util.py:62(openssl_assert)
       10    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1229(_all_strings)
        9    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        9    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        9    0.000    0.000    0.000    0.000 {built-in method _openssl.ASN1_BIT_STRING_get_bit}
        9    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/url.py:306(<listcomp>)
        9    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/url.py:305(_idna_encode)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:462(get)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/crypto.py:207(__init__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:155(hostname)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:195(_hostinfo)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:97(_intenum_converter)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:286(tell)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:676(items)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:698(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        7    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        7    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        7    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        7    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/sessions.py:49(merge_setting)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:44(_debug)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/utils.py:284(to_key_val_list)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:111(__init__)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:174(getwidth)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
        6    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
        6    0.000    0.000    0.000    0.000 {method 'count' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        6    0.000    0.000    0.000    0.000 {built-in method time.time}
        6    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1219(vals_sorted_by_key)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1223(deepvalues)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1750(__iter__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/cookies.py:51(get_full_url)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:528(is_HDN)
        6    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/client.py:980(_output)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:81(RLock)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:595(isstring)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:81(groups)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:249(_compile_charset)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:276(_optimize_charset)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
        5    0.000    0.000    0.000    0.000 {method 'rstrip' of 'bytes' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        5    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
