         179462 function calls (179405 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.777    0.777 financial.py:49(main)
       33    0.000    0.000    0.151    0.005 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:691(_handle_chunk)
     1314    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1162    0.000    0.000    0.000    0.000 {built-in method unicodedata.bidirectional}
      116    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:251(handle_comment)
       34    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:677(_update_chunk_length)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:76(_decode_general_names)
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:127(check_initial_combiner)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_set_cipher_list}
      340    0.000    0.000    0.001    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
       78    0.000    0.000    0.001    0.000 /usr/lib/python3.8/html/parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_new}
     1311    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:143(check_nfc)
      700    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       60    0.000    0.000    0.151    0.003 /usr/lib/python3.8/http/client.py:605(_safe_read)
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:134(check_hyphen_ok)
        2    0.000    0.000    0.000    0.000 {method 'callback' of 'CompiledFFI' objects}
       75    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       75    0.000    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:165(_dnsname_to_stdlib)
      135    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:284(raise_if_problem)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:2007(get_cipher_list)
      636    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:752(decode)
      326    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:748(encode)
   108/91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:11(__init__)
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:53(valid_label_length)
      133    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/urllib/request.py:2490(getproxies_environment)
      133    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       33    0.000    0.000    0.007    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:379(_decode)
      583    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       73    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:104(handle_startendtag)
       16    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      243    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      244    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       79    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:755(_asn1_string_to_bytes)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/http/client.py:204(parse_headers)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fe116f3a670}
      320    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:693(__iter__)
      109    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/backend.py:130(openssl_assert)
       10    0.000    0.000    0.000    0.000 {built-in method _openssl.X509V3_EXT_d2i}
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
      134    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:694(readable)
       92    0.000    0.000    0.000    0.000 /usr/lib/python3.8/types.py:171(__get__)
      244    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:22(_obj2txt)
       49    0.000    0.000    0.393    0.008 {method 'readline' of '_io.BufferedReader' objects}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:366(urlparse)
        6    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/url.py:210(_encode_invalid_chars)
        1    0.000    0.000    0.118    0.118 /home/se/.local/lib/python3.8/site-packages/urllib3/connection.py:332(connect)
      171    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/utils.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:471(_parse_headers)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1542(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       42    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/_util.py:72(native)
       22    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:218(_parsegen)
      702    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_write}
       33    0.000    0.000    0.159    0.005 /usr/lib/python3/dist-packages/requests/models.py:746(generate)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:417(urlsplit)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.8/html/__init__.py:91(_replace_charref)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:306(wrapper)
        1    0.000    0.000    0.008    0.008 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:250(<listcomp>)
       77    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1219(<genexpr>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:260(_decode_certificate_policies)
      244    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       26    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1905(__init__)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:462(get)
      244    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
       75    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/general_name.py:152(_init_without_validation)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:459(parse_ns_headers)
       31    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:43(__eq__)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:110(_coerce_args)
        1    0.000    0.000    0.084    0.084 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:115(__init__)
       49    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
