         179518 function calls (179461 primitive calls) in 5.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    0.010    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:179(idna_encode)
      116    0.000    0.000    0.002    0.000 /usr/lib/python3.8/_markupbase.py:168(parse_comment)
      733    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1376(get)
       59    0.000    0.000    0.142    0.002 /usr/lib/python3.8/http/client.py:605(_safe_read)
      384    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:189(handle_data)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_new}
        3    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:76(_decode_general_names)
       33    0.000    0.000    0.009    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:379(_decode)
       33    0.000    0.000    0.143    0.004 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:691(_handle_chunk)
        2    0.000    0.000    0.000    0.000 {method 'callback' of 'CompiledFFI' objects}
       16    0.000    0.000    0.001    0.000 /usr/lib/python3.8/urllib/parse.py:366(urlparse)
     1162    0.000    0.000    0.000    0.000 {built-in method unicodedata.bidirectional}
     1311    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      501    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:726(handle_data)
      326    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
       34    0.000    0.000    0.001    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:677(_update_chunk_length)
     1273    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:134(check_hyphen_ok)
      700    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:127(check_initial_combiner)
       79    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:289(_compile)
     1314    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:143(check_nfc)
      116    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:251(handle_comment)
      340    0.000    0.000    0.001    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:2007(get_cipher_list)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
       75    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       78    0.000    0.000    0.001    0.000 /usr/lib/python3.8/html/parser.py:123(set_cdata_mode)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       16    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       75    0.000    0.000    0.010    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:165(_dnsname_to_stdlib)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      140    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:284(raise_if_problem)
      138    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:53(valid_label_length)
